UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
385132,1,999,"R",157,"R",9,"R",148,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",24,"R",3,"R",21,"R",17,"R",1,"R",16,"R",2,"R",0,"R",2,"R",104,"R",5,"R",99,"R",8,"R",0,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
385132,2,  1,"R",157,"R",9,"R",148,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",24,"R",3,"R",21,"R",17,"R",1,"R",16,"R",2,"R",0,"R",2,"R",104,"R",5,"R",99,"R",8,"R",0,"R",8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
385503,1,999,"R",495,"R",32,"R",463,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",5,"R",67,"R",7,"R",60,"R",55,"R",1,"R",54,"Z",0,"Z",0,"Z",0,"R",365,"R",24,"R",341,"R",1,"Z",0,"R",1,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0
385503,2,  1,"R",495,"R",32,"R",463,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",5,"R",67,"R",7,"R",60,"R",55,"R",1,"R",54,"Z",0,"Z",0,"Z",0,"R",365,"R",24,"R",341,"R",1,"Z",0,"R",1,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0
385549,1,999,"R",159,"R",27,"R",132,"R",1,"Z",0,"R",1,"R",5,"R",3,"R",2,"R",27,"R",6,"R",21,"R",88,"R",17,"R",71,"Z",0,"Z",0,"Z",0,"R",36,"R",1,"R",35,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0
385549,2,  1,"R",159,"R",27,"R",132,"R",1,"Z",0,"R",1,"R",5,"R",3,"R",2,"R",27,"R",6,"R",21,"R",88,"R",17,"R",71,"Z",0,"Z",0,"Z",0,"R",36,"R",1,"R",35,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0
385619,1,999,"R",2399,"R",1160,"R",1239,"R",22,"R",7,"R",15,"R",48,"R",27,"R",21,"R",445,"R",220,"R",225,"R",389,"R",196,"R",193,"R",10,"R",3,"R",7,"R",1319,"R",620,"R",699,"R",96,"R",45,"R",51,"R",69,"R",41,"R",28,"R",1,"R",1,"R",0
385619,2,  1,"R",2058,"R",1001,"R",1057,"R",21,"R",7,"R",14,"R",38,"R",21,"R",17,"R",372,"R",184,"R",188,"R",320,"R",162,"R",158,"R",8,"R",1,"R",7,"R",1154,"R",551,"R",603,"R",84,"R",38,"R",46,"R",61,"R",37,"R",24,"R",0,"R",0,"R",0
385619,4,  3,"R",341,"R",159,"R",182,"R",1,"R",0,"R",1,"R",10,"R",6,"R",4,"R",73,"R",36,"R",37,"R",69,"R",34,"R",35,"R",2,"R",2,"R",0,"R",165,"R",69,"R",96,"R",12,"R",7,"R",5,"R",8,"R",4,"R",4,"R",1,"R",1,"R",0
386153,1,999,"R",337,"Z",0,"R",337,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",335,"Z",0,"R",335,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
386153,2,  1,"R",337,"Z",0,"R",337,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",335,"Z",0,"R",335,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
386472,1,999,"R",780,"R",167,"R",613,"R",7,"R",2,"R",5,"R",36,"R",12,"R",24,"R",250,"R",51,"R",199,"R",169,"R",38,"R",131,"R",3,"R",1,"R",2,"R",217,"R",42,"R",175,"R",4,"R",2,"R",2,"R",94,"R",19,"R",75,"Z",0,"Z",0,"Z",0
