unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
"100858","4","3",10,"487",10,"280",10,"105",10,"227",10,"11",10,"7",10,"27",10,"29",10,"34",10,"39",10,"1285",10,"1213",10,"28",10,"30",10,"1977",10,"1825",10,"767",10,"332",10,"18",10,"56",10,"73",10,"2498",10,"58",10,"3802"
"100937","1","999",10,"3",10,"2",10,"38",10,"103",10,"1",10,"2",10,"13",10,"27",10,"8",10,"9",10,"562",10,"693",10,"7",10,"2",10,"632",10,"838",10,"5",10,"141",10,"3",10,"40",10,"17",10,"1255",10,"9",10,"1470"
"100937","2","1",10,"3",10,"1",10,"29",10,"67",10,"1",10,"2",10,"13",10,"27",10,"7",10,"8",10,"534",10,"673",10,"7",10,"2",10,"594",10,"780",10,"4",10,"96",10,"3",10,"40",10,"15",10,"1207",10,"9",10,"1374"
"100937","4","3",13,"0",10,"1",10,"9",10,"36",13,"0",13,"0",13,"0",13,"0",10,"1",10,"1",10,"28",10,"20",13,"0",13,"0",10,"38",10,"58",10,"1",10,"45",13,"0",13,"0",10,"2",10,"48",13,"0",10,"96"
"101028","1","999",13,"0",13,"0",10,"374",10,"1079",10,"1",10,"2",10,"7",10,"10",10,"35",10,"55",10,"608",10,"938",10,"17",10,"57",10,"1042",10,"2141",13,"0",10,"1453",10,"3",10,"17",10,"90",10,"1546",10,"74",10,"3183"
"101028","2","1",13,"0",13,"0",10,"374",10,"1079",10,"1",10,"2",10,"7",10,"10",10,"35",10,"55",10,"608",10,"938",10,"17",10,"57",10,"1042",10,"2141",13,"0",10,"1453",10,"3",10,"17",10,"90",10,"1546",10,"74",10,"3183"
"101073","1","999",10,"17",10,"5",10,"403",10,"461",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"9",10,"10",13,"0",13,"0",10,"429",10,"476",10,"22",10,"864",13,"0",13,"0",13,"0",10,"19",13,"0",10,"905"
"101073","2","1",10,"17",10,"5",10,"403",10,"461",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"9",10,"10",13,"0",13,"0",10,"429",10,"476",10,"22",10,"864",13,"0",13,"0",13,"0",10,"19",13,"0",10,"905"
"101116","1","999",13,"0",13,"0",10,"100",10,"360",13,"0",10,"1",10,"2",10,"1",10,"1",10,"3",10,"56",10,"151",13,"0",10,"1",10,"159",10,"517",13,"0",10,"460",10,"1",10,"3",10,"4",10,"207",10,"1",10,"676"
"101116","2","1",13,"0",13,"0",10,"97",10,"351",13,"0",10,"1",10,"2",10,"1",10,"1",10,"3",10,"55",10,"147",13,"0",10,"1",10,"155",10,"504",13,"0",10,"448",10,"1",10,"3",10,"4",10,"202",10,"1",10,"659"
"101116","4","3",13,"0",13,"0",10,"3",10,"9",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"4",13,"0",13,"0",10,"4",10,"13",13,"0",10,"12",13,"0",13,"0",13,"0",10,"5",13,"0",10,"17"
"101143","1","999",13,"0",13,"0",10,"241",10,"337",10,"12",10,"11",10,"23",10,"31",10,"46",10,"42",10,"967",10,"911",10,"27",10,"30",10,"1316",10,"1362",13,"0",10,"578",10,"23",10,"54",10,"88",10,"1878",10,"57",10,"2678"
"101143","2","1",13,"0",13,"0",10,"241",10,"337",10,"12",10,"11",10,"23",10,"31",10,"46",10,"42",10,"967",10,"911",10,"27",10,"30",10,"1316",10,"1362",13,"0",10,"578",10,"23",10,"54",10,"88",10,"1878",10,"57",10,"2678"
"101161","1","999",13,"0",13,"0",10,"175",10,"481",10,"8",10,"22",10,"17",10,"36",10,"19",10,"26",10,"1294",10,"2121",10,"6",10,"18",10,"1519",10,"2704",13,"0",10,"656",10,"30",10,"53",10,"45",10,"3415",10,"24",10,"4223"
"101161","2","1",13,"0",13,"0",10,"175",10,"481",10,"8",10,"22",10,"17",10,"36",10,"19",10,"26",10,"1294",10,"2121",10,"6",10,"18",10,"1519",10,"2704",13,"0",10,"656",10,"30",10,"53",10,"45",10,"3415",10,"24",10,"4223"
"101189","1","999",13,"0",13,"0",10,"287",10,"1146",10,"2",10,"3",10,"13",10,"22",10,"14",10,"16",10,"894",10,"885",10,"33",10,"47",10,"1243",10,"2119",13,"0",10,"1433",10,"5",10,"35",10,"30",10,"1779",10,"80",10,"3362"
"101189","2","1",13,"0",13,"0",10,"265",10,"1052",13,"0",13,"0",10,"10",10,"18",10,"13",10,"14",10,"698",10,"768",10,"18",10,"31",10,"1004",10,"1883",13,"0",10,"1317",13,"0",10,"28",10,"27",10,"1466",10,"49",10,"2887"
"101189","3","2",13,"0",13,"0",10,"5",10,"11",13,"0",10,"3",10,"1",10,"2",13,"0",10,"1",10,"144",10,"94",10,"11",10,"12",10,"161",10,"123",13,"0",10,"16",10,"3",10,"3",10,"1",10,"238",10,"23",10,"284"
"101189","4","3",13,"0",13,"0",10,"17",10,"83",10,"2",13,"0",10,"2",10,"2",10,"1",10,"1",10,"52",10,"23",10,"4",10,"4",10,"78",10,"113",13,"0",10,"100",10,"2",10,"4",10,"2",10,"75",10,"8",10,"191"
"101231","1","999",13,"0",13,"0",10,"1",10,"19",13,"0",13,"0",13,"0",13,"0",13,"0",10,"4",10,"8",10,"68",13,"0",13,"0",10,"9",10,"91",13,"0",10,"20",13,"0",13,"0",10,"4",10,"76",13,"0",10,"100"
"101231","2","1",13,"0",13,"0",10,"1",10,"19",13,"0",13,"0",13,"0",13,"0",13,"0",10,"4",10,"8",10,"68",13,"0",13,"0",10,"9",10,"91",13,"0",10,"20",13,"0",13,"0",10,"4",10,"76",13,"0",10,"100"
"101240","1","999",10,"126",10,"100",10,"616",10,"1078",10,"15",10,"17",10,"15",10,"21",10,"38",10,"58",10,"30",10,"3616",10,"2275",10,"61",10,"3115",10,"4951",10,"226",10,"1694",10,"32",10,"36",10,"96",10,"3646",10,"2336",10,"8066"
"101240","2","1",10,"126",10,"100",10,"616",10,"1078",10,"15",10,"17",10,"15",10,"21",10,"38",10,"58",10,"30",10,"3616",10,"2275",10,"61",10,"3115",10,"4951",10,"226",10,"1694",10,"32",10,"36",10,"96",10,"3646",10,"2336",10,"8066"
