UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
445692,2,  1,"R",4,"R",3,"R",3,"R",1,"R",3,"R",1,"R",19,"R",4,"R",11,"R",2,"R",295,"R",17,"R",18,"R",2,"R",353,"R",30,"R",7,"R",4,"R",4,"R",23,"R",13,"R",312,"R",20,"R",383
445692,4,  3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",19,"R",5,"R",1,"Z",0,"R",21,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",24,"R",1,"R",26
445708,1,999,"R",6,"R",10,"R",282,"R",430,"R",4,"R",8,"R",33,"R",28,"R",24,"R",47,"R",782,"R",760,"R",157,"R",137,"R",1288,"R",1420,"R",16,"R",712,"R",12,"R",61,"R",71,"R",1542,"R",294,"R",2708
445708,2,  1,"R",6,"R",10,"R",282,"R",430,"R",4,"R",8,"R",33,"R",28,"R",24,"R",47,"R",782,"R",760,"R",157,"R",137,"R",1288,"R",1420,"R",16,"R",712,"R",12,"R",61,"R",71,"R",1542,"R",294,"R",2708
445717,1,999,"R",32,"R",76,"R",46,"R",153,"R",10,"R",19,"R",33,"R",53,"R",190,"R",441,"R",237,"R",405,"R",214,"R",511,"R",762,"R",1658,"R",108,"R",199,"R",29,"R",86,"R",631,"R",642,"R",725,"R",2420
445717,2,  1,"R",27,"R",69,"R",39,"R",121,"R",8,"R",15,"R",26,"R",48,"R",165,"R",394,"R",193,"R",313,"R",179,"R",445,"R",637,"R",1405,"R",96,"R",160,"R",23,"R",74,"R",559,"R",506,"R",624,"R",2042
445717,4,  3,"R",5,"R",7,"R",7,"R",32,"R",2,"R",4,"R",7,"R",5,"R",25,"R",47,"R",44,"R",92,"R",35,"R",66,"R",125,"R",253,"R",12,"R",39,"R",6,"R",12,"R",72,"R",136,"R",101,"R",378
445726,1,999,"Z",0,"Z",0,"R",114,"R",105,"Z",0,"Z",0,"R",5,"R",1,"R",2,"R",2,"R",224,"R",155,"R",1,"Z",0,"R",346,"R",263,"Z",0,"R",219,"Z",0,"R",6,"R",4,"R",379,"R",1,"R",609
445726,2,  1,"Z",0,"Z",0,"R",114,"R",105,"Z",0,"Z",0,"R",5,"R",1,"R",2,"R",2,"R",224,"R",155,"R",1,"Z",0,"R",346,"R",263,"Z",0,"R",219,"Z",0,"R",6,"R",4,"R",379,"R",1,"R",609
445735,1,999,"R",3,"R",14,"R",16,"R",51,"R",4,"R",2,"R",81,"R",173,"R",7,"R",12,"R",96,"R",127,"R",13,"R",20,"R",220,"R",399,"R",17,"R",67,"R",6,"R",254,"R",19,"R",223,"R",33,"R",619
445735,2,  1,"R",3,"R",5,"R",7,"R",38,"Z",0,"Z",0,"R",13,"R",49,"Z",0,"R",1,"R",5,"R",11,"R",1,"R",6,"R",29,"R",110,"R",8,"R",45,"Z",0,"R",62,"R",1,"R",16,"R",7,"R",139
445735,3,  2,"Z",0,"R",9,"R",9,"R",10,"Z",0,"R",2,"R",68,"R",116,"R",7,"R",10,"R",91,"R",113,"R",11,"R",13,"R",186,"R",273,"R",9,"R",19,"R",2,"R",184,"R",17,"R",204,"R",24,"R",459
445735,4,  3,"Z",0,"Z",0,"Z",0,"R",3,"R",4,"Z",0,"Z",0,"R",8,"Z",0,"R",1,"Z",0,"R",3,"R",1,"R",1,"R",5,"R",16,"Z",0,"R",3,"R",4,"R",8,"R",1,"R",3,"R",2,"R",21
445744,1,999,"Z",0,"Z",0,"R",7,"R",116,"Z",0,"Z",0,"R",1,"R",5,"R",6,"R",28,"R",9,"R",113,"R",5,"R",96,"R",28,"R",358,"Z",0,"R",123,"Z",0,"R",6,"R",34,"R",122,"R",101,"R",386
