UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4 
165945,0,1,1,0,0,0,3,-2,-2,-2,0,0,0,0,0,0,1,0,-2,-2,-2,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,4,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"A",.,"R",50,"A",.,2,2,1,-2,2,2,1,-2,2,1,"R",369,1,"R",12,"R",2840,"R",3160,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
165981,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",10,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
166009,1,0,-2,0,0,0,2,-2,-2,-2,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,3,3,1,3,1,3,3,3,3,2,"R",191,"R",374,"R",113,"R",241,"R",75,"R",138,"R",0,"R",0,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,"R",25,"A",.,"A",.,1,1,-2,-2,2,2,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",75,"R",138,"R",213,"R",565,"R",354,"R",213,"R",0,1,0,0,1,0
166018,0,1,0,0,0,0,3,-2,-2,-2,0,0,0,0,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,1,2,1,2,2,1,3,2,"R",1164,"R",1678,"R",548,"R",960,"R",172,"R",253,"R",0,"R",0,2,"R",315,"R",78,"R",106,"R",26,"R",610,"R",700,"R",540,"R",660,"R",590,"R",700,"R",26,"R",29,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,-2,0,1,0,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,4,"R",55,"A",.,"B",.,1,1,2,-2,2,2,2,-2,2,1,"R",1191,1,"R",21,"R",6428,"R",3652,"A",.,1,"R",172,"R",253,"R",446,"R",2842,"R",1508,"R",446,"R",0,1,0,0,1,0
166027,0,1,1,0,0,0,3,-2,-2,-2,0,0,1,0,1,1,1,1,-2,-2,-2,0,1,1,0,2,2,2,1,2,1,3,1,3,3,2,"R",13616,"R",13764,"R",1031,"R",1064,"R",820,"R",838,"R",0,"R",0,2,"R",1617,"R",98,"R",419,"R",25,"R",690,"R",800,"R",700,"R",780,"R",690,"R",790,"R",31,"R",35,"R",32,"R",35,"R",31,"R",35,"B",.,"B",.,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,117,1,117,1,117,1,117,-2,1,"R",65,"R",90,"A",.,1,1,1,-2,1,2,1,-2,2,1,"R",13042,1,"R",21,"R",6060,"R",4982,"A",.,2,"R",820,"R",838,"R",1658,"R",27380,"R",2095,"R",1658,"R",0,1,1,1,1,0
166045,1,1,1,0,0,0,3,-2,-2,-2,1,1,0,0,1,1,1,0,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",50,"R",50,"A",.,1,2,1,-2,1,2,1,-2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
166054,0,1,0,0,0,0,4,-2,-2,91,0,0,0,0,1,0,1,0,0,0,0,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",50,"R",50,"A",.,1,1,1,2,2,2,1,2,2,1,"R",184,3,"A",.,"R",11430,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
166063,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",100,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
166124,0,1,0,0,0,0,4,-2,-2,30,0,0,0,0,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,1,2,1,3,3,1,3,2,"R",3520,"R",3707,"R",1183,"R",1258,"R",317,"R",421,"R",0,"R",0,2,"R",384,"R",52,"R",0,"Z",0,"R",580,"R",670,"R",600,"R",680,"B",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,-2,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,128,1,128,1,128,1,128,-2,1,"R",50,"A",.,"B",.,1,1,2,-2,1,2,2,-2,2,1,"R",2342,1,"R",19,"R",5130,"R",5130,"A",.,1,"R",317,"R",421,"R",738,"R",7227,"R",2441,"R",738,"R",0,1,0,1,1,0
166133,1,1,-2,1,1,1,1,2,0,-2,1,1,1,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",10,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
166276,0,1,-2,0,0,0,2,-2,-2,-2,1,0,1,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,2,"R",25,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0
166294,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",0,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0
166319,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",100,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
166328,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",100,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
166391,1,1,0,0,0,0,3,-2,-2,-2,0,0,0,0,1,1,1,0,-2,-2,-2,0,0,0,0,2,1,3,1,1,1,3,1,1,3,2,"R",1011,"R",2211,"R",591,"R",1386,"R",148,"R",335,"R",2,"R",2,2,"R",444,"R",91,"R",39,"R",8,"R",450,"R",530,"R",460,"R",540,"R",450,"R",540,"R",19,"R",23,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,174,1,174,1,174,-2,1,"R",40,"R",40,"A",.,1,1,1,-2,1,1,1,-2,2,1,"R",1096,1,"R",19,"A",.,"A",.,"R",9950,2,"R",150,"R",337,"R",487,"R",3222,"R",1977,"R",483,"R",4,1,0,0,1,0
166407,0,1,-2,0,0,0,4,-2,-2,30,0,0,1,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,1,2,1,3,1,3,1,1,4,2,"R",2,"R",15,"R",0,"R",2,"R",0,"R",0,"R",0,"R",2,2,"R",2,"R",100,"R",0,"R",0,"R",450,"R",550,"R",490,"R",540,"R",540,"R",550,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",50,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",0,"R",2,"R",2,"R",17,"R",2,"R",0,"R",2,1,0,0,1,0
