UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75 
141237,1,3,1,2,3,3,1,1,3,"R",485,"R",197,"R",288,"R",442,"R",174,"R",268,"R",208,"R",82,"R",126,"R",207,"R",82,"R",125,"R",1,"R",0,"R",1,"R",152,"R",73,"R",114,"R",55,"R",428,"R",510,"R",410,"R",510,"R",410,"R",505,"R",18,"R",22,"R",16,"R",22,"R",17,"R",21,"A",,"A",
141264,1,3,1,1,3,3,1,1,3,"R",5564,"R",2081,"R",3483,"R",2806,"R",1048,"R",1758,"R",1387,"R",565,"R",822,"R",1358,"R",546,"R",812,"R",29,"R",19,"R",10,"R",1041,"R",75,"R",710,"R",51,"R",460,"R",550,"R",450,"R",530,"R",440,"R",530,"R",19,"R",23,"R",18,"R",23,"R",17,"R",22,"A",,"A",
141334,1,3,1,1,3,3,1,1,3,"R",7878,"R",2910,"R",4769,"R",4481,"R",1558,"R",2823,"R",2410,"R",901,"R",1509,"R",2343,"R",865,"R",1478,"R",67,"R",36,"R",31,"R",1653,"R",69,"R",1412,"R",59,"R",440,"R",520,"R",420,"R",500,"A",,"A",,"R",18,"R",22,"R",18,"R",22,"R",17,"R",21,"A",,"A",
141361,1,3,1,2,3,3,1,1,3,"R",2232,"R",804,"R",1386,"R",1165,"R",446,"R",719,"R",328,"R",134,"R",194,"R",328,"R",134,"R",194,"A",,"A",,"A",,"R",255,"R",74,"R",186,"R",54,"R",440,"R",550,"R",435,"R",530,"R",420,"R",530,"R",18,"R",23,"A",,"A",,"A",,"A",,"A",,"A",
141486,1,2,1,2,2,2,1,1,3,"R",896,"R",199,"R",697,"R",735,"R",170,"R",565,"R",251,"R",61,"R",190,"R",215,"R",42,"R",173,"R",36,"R",19,"R",17,"R",113,"R",45,"R",101,"R",40,"R",430,"R",520,"R",435,"R",540,"A",,"A",,"R",19,"R",22,"R",17,"R",22,"R",17,"R",23,"A",,"A",
141565,1,2,1,2,3,3,1,1,3,"R",1541,"R",533,"R",997,"R",1098,"R",356,"R",734,"R",385,"R",123,"R",257,"R",371,"R",118,"R",248,"R",14,"R",5,"R",9,"R",281,"R",73,"R",245,"R",64,"R",410,"R",520,"R",420,"R",530,"A",,"A",,"R",16,"R",22,"R",15,"R",22,"R",19,"R",26,"A",,"A",
141574,1,2,1,1,3,3,1,1,3,"R",7690,"R",2966,"R",4688,"R",6261,"R",2344,"R",3890,"R",1907,"R",816,"R",1087,"R",1860,"R",793,"R",1063,"R",47,"R",23,"R",24,"R",1242,"R",65,"R",979,"R",51,"R",480,"R",580,"R",490,"R",610,"R",460,"R",570,"R",20,"R",25,"R",19,"R",25,"R",20,"R",26,"R",6,"R",8
141644,1,2,1,1,2,3,2,2,3,"R",3449,"R",1011,"R",2438,"R",3149,"R",904,"R",2245,"R",504,"R",174,"R",330,"R",473,"R",156,"R",317,"R",31,"R",18,"R",13,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
141981,1,3,1,1,2,3,2,1,3,"R",898,"R",342,"R",550,"R",630,"R",224,"R",402,"R",255,"R",101,"R",153,"R",240,"R",95,"R",144,"R",15,"R",6,"R",9,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
142054,3,3,1,3,3,3,3,3,1,"R",30,"R",1,"R",29,"R",30,"R",1,"R",29,"R",22,"R",1,"R",21,"R",22,"R",1,"R",21,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
142090,1,1,1,2,1,3,1,1,3,"R",54,"R",22,"R",32,"R",53,"R",21,"R",32,"R",29,"R",17,"R",12,"R",29,"R",17,"R",12,"R",0,"R",0,"R",0,"R",12,"R",41,"R",12,"R",41,"R",450,"R",610,"R",420,"R",570,"R",420,"R",560,"R",18,"R",28,"R",19,"R",29,"R",17,"R",26,"A",,"A",
142115,1,2,1,2,3,3,1,1,3,"R",8156,"R",3861,"R",4294,"R",6490,"R",2869,"R",3621,"R",2193,"R",981,"R",1212,"R",2098,"R",934,"R",1164,"R",95,"R",47,"R",48,"R",1737,"R",79,"R",1160,"R",53,"R",460,"R",570,"R",460,"R",570,"R",440,"R",550,"R",20,"R",26,"R",20,"R",26,"R",19,"R",26,"R",7,"R",8
142285,1,3,1,2,3,3,1,1,3,"R",6212,"R",3126,"R",3086,"R",4476,"R",2137,"R",2339,"R",1588,"R",802,"R",786,"R",1557,"R",783,"R",774,"R",31,"R",19,"R",12,"R",1346,"R",85,"R",817,"R",51,"R",470,"R",590,"R",470,"R",580,"R",440,"R",560,"R",20,"R",26,"R",20,"R",26,"R",20,"R",27,"R",6,"R",8
142294,1,2,1,2,1,3,3,1,3,"R",955,"R",475,"R",480,"R",863,"R",426,"R",437,"R",201,"R",104,"R",97,"R",201,"R",104,"R",97,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
142328,2,3,2,2,3,3,1,1,4,"R",1074,"R",473,"R",601,"R",1062,"R",465,"R",597,"R",541,"R",234,"R",307,"R",503,"R",219,"R",284,"R",38,"R",15,"R",23,"R",406,"R",75,"R",174,"R",32,"R",410,"R",520,"R",410,"R",510,"A",,"A",,"R",18,"R",23,"R",17,"R",23,"R",17,"R",23,"A",,"A",
142337,3,3,1,3,3,3,3,1,3,"R",105,"R",57,"R",48,"R",88,"R",53,"R",35,"R",44,"R",26,"R",18,"R",39,"R",22,"R",17,"R",5,"R",4,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
142461,1,2,1,2,3,3,1,2,3,"R",1589,"R",535,"R",1054,"R",894,"R",336,"R",558,"R",267,"R",115,"R",152,"R",263,"R",113,"R",150,"R",4,"R",2,"R",2,"R",213,"R",83,"R",153,"R",59,"R",460,"R",580,"R",460,"R",570,"R",440,"R",560,"R",20,"R",27,"R",19,"R",28,"R",20,"R",26,"A",,"A",
142522,1,3,2,2,1,3,1,1,3,"R",6805,"R",2507,"R",4298,"R",6777,"R",2493,"R",4284,"R",3201,"R",975,"R",2226,"R",2720,"R",799,"R",1921,"R",481,"R",176,"R",305,"R",1153,"R",36,"R",2742,"R",86,"R",460,"R",560,"R",450,"R",560,"A",,"A",,"R",20,"R",25,"R",20,"R",25,"R",18,"R",25,"A",,"A",
142957,1,2,1,3,1,3,1,2,3,"R",7,"R",4,"R",3,"R",7,"R",4,"R",3,"R",5,"R",2,"R",3,"R",2,"R",1,"R",1,"R",3,"R",1,"R",2,"R",4,"R",80,"R",1,"R",20,"R",380,"R",440,"R",330,"R",410,"R",340,"R",380,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
143048,3,3,1,3,1,1,1,1,3,"R",4210,"R",1067,"R",3143,"R",2799,"R",605,"R",2194,"R",574,"R",146,"R",428,"R",573,"R",146,"R",427,"R",1,"R",0,"R",1,"R",273,"R",48,"R",253,"R",44,"R",520,"R",630,"R",510,"R",670,"R",520,"R",630,"R",22,"R",28,"R",22,"R",30,"R",20,"R",26,"R",7,"R",9
143084,1,2,1,2,2,3,2,1,3,"R",6712,"R",2759,"R",3953,"R",3312,"R",1332,"R",1980,"R",678,"R",285,"R",393,"R",678,"R",285,"R",393,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
143118,1,2,1,1,2,3,1,1,3,"R",2843,"R",1157,"R",1686,"R",2196,"R",884,"R",1312,"R",630,"R",253,"R",377,"R",630,"R",253,"R",377,"R",0,"R",0,"R",0,"R",48,"R",8,"R",629,"R",99,"R",450,"R",548,"R",460,"R",530,"R",423,"R",520,"R",19,"R",23,"R",18,"R",23,"R",18,"R",24,"A",,"A",
143288,1,1,1,2,2,2,1,2,3,"R",1078,"R",483,"R",595,"R",598,"R",243,"R",355,"R",160,"R",69,"R",91,"R",159,"R",68,"R",91,"R",1,"R",1,"R",0,"R",8,"R",1,"R",150,"R",94,"R",365,"R",520,"R",415,"R",510,"A",,"A",,"R",19,"R",24,"R",17,"R",24,"R",18,"R",25,"A",,"A",
143358,1,2,1,1,2,3,1,3,3,"R",9186,"R",3907,"R",5279,"R",6033,"R",2561,"R",3472,"R",929,"R",441,"R",488,"R",925,"R",438,"R",487,"R",4,"R",3,"R",1,"R",79,"R",9,"R",885,"R",95,"R",500,"R",620,"R",520,"R",650,"A",,"A",,"R",23,"R",28,"R",22,"R",29,"R",23,"R",28,"A",,"A",
144005,1,3,1,2,1,2,1,1,3,"R",5883,"R",2117,"R",3766,"R",1246,"R",397,"R",849,"R",199,"R",83,"R",116,"R",162,"R",66,"R",96,"R",37,"R",17,"R",20,"R",8,"R",4,"R",192,"R",96,"R",435,"R",518,"R",493,"R",560,"A",,"A",,"R",16,"R",20,"R",15,"R",20,"R",16,"R",19,"A",,"A",
144050,2,2,1,3,1,3,1,1,3,"R",30069,"R",13864,"R",16205,"R",2521,"R",1274,"R",1247,"R",1537,"R",788,"R",749,"R",1537,"R",788,"R",749,"A",,"A",,"A",,"R",965,"R",63,"R",859,"R",56,"R",720,"R",800,"R",720,"R",800,"R",700,"R",780,"R",32,"R",35,"R",33,"R",35,"R",30,"R",35,"A",,"A",
144281,1,3,1,1,1,1,2,2,3,"R",8391,"R",3138,"R",5253,"R",7389,"R",2637,"R",4752,"R",1805,"R",696,"R",1109,"R",1764,"R",673,"R",1091,"R",41,"R",23,"R",18,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
144351,1,2,1,2,3,3,1,2,3,"R",4448,"R",1837,"R",2611,"R",2238,"R",856,"R",1382,"R",294,"R",134,"R",160,"R",294,"R",134,"R",160,"A",,"A",,"A",,"R",50,"R",17,"R",275,"R",92,"R",450,"R",550,"R",470,"R",590,"A",,"A",,"R",20,"R",25,"R",20,"R",25,"R",18,"R",25,"A",,"A",
144740,1,2,1,1,1,2,2,1,3,"R",19628,"R",7973,"R",11655,"R",14129,"R",5518,"R",8611,"R",2519,"R",1100,"R",1419,"R",2517,"R",1100,"R",1417,"R",2,"R",0,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
144892,1,2,1,1,2,2,1,1,3,"R",9103,"R",3696,"R",5407,"R",4571,"R",1744,"R",2827,"R",1143,"R",447,"R",696,"R",1136,"R",441,"R",695,"R",7,"R",6,"R",1,"R",0,"R",0,"R",1117,"R",98,"A",,"A",,"A",,"A",,"A",,"A",,"R",19,"R",24,"R",18,"R",24,"R",17,"R",24,"A",,"A",
144962,1,1,1,2,2,3,1,1,3,"R",3620,"R",1648,"R",1972,"R",1983,"R",760,"R",1223,"R",478,"R",193,"R",285,"R",478,"R",193,"R",285,"A",,"A",,"A",,"R",29,"R",6,"R",461,"R",96,"R",485,"R",600,"R",485,"R",605,"R",460,"R",590,"R",21,"R",26,"R",20,"R",26,"R",20,"R",26,"A",,"A",
144971,1,2,1,2,2,3,1,1,3,"R",1225,"R",534,"R",691,"R",764,"R",320,"R",444,"R",165,"R",83,"R",82,"R",164,"R",83,"R",81,"R",1,"R",0,"R",1,"R",4,"R",2,"R",161,"R",97,"R",510,"R",630,"R",530,"R",640,"R",530,"R",610,"R",19,"R",25,"R",18,"R",27,"R",18,"R",26,"A",,"A",
145239,1,2,1,3,2,3,3,3,3,"R",102,"R",22,"R",80,"R",67,"R",12,"R",55,"R",37,"R",6,"R",31,"R",37,"R",6,"R",31,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
145336,1,2,1,3,3,3,1,2,3,"R",1114,"R",390,"R",724,"R",433,"R",123,"R",310,"R",203,"R",68,"R",135,"R",203,"R",68,"R",135,"A",,"A",,"A",,"R",5,"R",2,"R",192,"R",95,"R",455,"R",570,"R",400,"R",500,"R",430,"R",450,"R",17,"R",21,"R",16,"R",22,"R",16,"R",20,"R",5,"R",7
145354,2,2,1,2,1,3,1,2,3,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
145372,1,3,1,2,2,2,1,1,3,"R",1901,"R",1128,"R",773,"R",1070,"R",577,"R",493,"R",260,"R",150,"R",110,"R",260,"R",150,"R",110,"R",0,"R",0,"R",0,"R",37,"R",14,"R",229,"R",88,"R",440,"R",530,"R",430,"R",540,"R",410,"R",520,"R",19,"R",25,"R",18,"R",25,"R",17,"R",25,"R",6,"R",8
145497,1,2,1,2,1,2,1,1,3,"R",403,"R",33,"R",370,"R",390,"R",30,"R",360,"R",351,"R",25,"R",326,"R",350,"R",24,"R",326,"R",1,"R",1,"R",0,"R",263,"R",72,"R",95,"R",26,"R",490,"R",600,"R",450,"R",570,"R",460,"R",570,"R",19,"R",25,"R",20,"R",27,"R",17,"R",24,"A",,"A",
145600,1,1,1,1,2,3,1,1,3,"R",15664,"R",7123,"R",8541,"R",12007,"R",5325,"R",6682,"R",3485,"R",1677,"R",1808,"R",3462,"R",1664,"R",1798,"R",23,"R",13,"R",10,"R",210,"R",6,"R",3348,"R",96,"R",470,"R",590,"R",520,"R",670,"R",480,"R",590,"R",21,"R",26,"R",21,"R",27,"R",21,"R",27,"A",,"A",
145637,2,2,1,1,3,3,1,1,3,"R",34277,"R",19521,"R",14756,"R",22471,"R",12064,"R",10407,"R",7562,"R",4203,"R",3359,"R",7556,"R",4199,"R",3357,"R",6,"R",4,"R",2,"R",1849,"R",25,"R",6166,"R",82,"R",570,"R",680,"R",700,"R",790,"R",590,"R",690,"R",26,"R",31,"R",25,"R",33,"R",26,"R",32,"R",8,"R",9
145646,2,2,1,2,1,1,1,1,3,"R",3744,"R",1565,"R",2179,"R",2318,"R",931,"R",1387,"R",450,"R",200,"R",250,"R",450,"R",200,"R",250,"A",,"A",,"A",,"R",61,"R",14,"R",399,"R",89,"R",540,"R",640,"R",640,"R",730,"R",540,"R",670,"R",25,"R",30,"R",25,"R",32,"R",25,"R",29,"A",,"A",
145691,1,2,2,2,2,3,2,2,3,"R",2431,"R",1205,"R",1226,"R",1471,"R",695,"R",776,"R",240,"R",114,"R",126,"R",240,"R",114,"R",126,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
145725,2,2,1,2,1,3,1,1,3,"R",4403,"R",3179,"R",1224,"R",2321,"R",1609,"R",712,"R",479,"R",339,"R",140,"R",479,"R",339,"R",140,"R",0,"R",0,"R",0,"R",149,"R",31,"R",357,"R",75,"R",520,"R",650,"R",630,"R",730,"A",,"A",,"R",25,"R",30,"R",25,"R",32,"R",27,"R",32,"A",,"A",
