UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
196015,1,3,1,2,2,3,1,1,3,"R",3017,"R",1369,"R",1648,"R",2491,"R",1131,"R",1359,"R",699,"R",332,"R",367,"R",694,"R",330,"R",364,"R",5,"R",2,"R",3,"R",325,"R",46,"R",92,"R",13,"R",400,"R",510,"R",400,"R",520,"R",17,"R",22,"R",15,"R",20,"R",17,"R",23
196024,1,2,1,3,3,3,2,1,3,"R",5387,"R",2533,"R",2854,"R",2766,"R",1313,"R",1453,"R",810,"R",427,"R",383,"R",799,"R",423,"R",376,"R",11,"R",4,"R",7,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
196033,1,3,1,2,2,3,1,1,3,"R",2897,"R",1448,"R",1449,"R",2265,"R",1098,"R",1167,"R",656,"R",341,"R",315,"R",654,"R",339,"R",315,"R",2,"R",2,"R",0,"R",142,"R",93,"R",42,"R",27,"R",460,"R",550,"R",450,"R",550,"R",20,"R",24,"A",,"A",,"A",,"A",
196042,1,2,1,2,2,3,1,1,3,"R",6169,"R",3215,"R",2954,"R",3579,"R",1878,"R",1701,"R",1281,"R",694,"R",587,"R",1248,"R",677,"R",571,"R",33,"R",17,"R",16,"R",1193,"R",93,"R",321,"R",25,"R",430,"R",520,"R",450,"R",540,"R",19,"R",23,"A",,"A",,"A",,"A",
196051,1,2,1,2,2,3,1,1,3,"R",4031,"R",2140,"R",1891,"R",3118,"R",1651,"R",1467,"R",912,"R",490,"R",422,"R",909,"R",489,"R",420,"R",3,"R",1,"R",2,"R",607,"R",65,"R",142,"R",15,"R",380,"R",490,"R",380,"R",490,"R",17,"R",22,"R",16,"R",21,"R",16,"R",23
196060,1,2,1,1,1,3,1,1,3,"R",23799,"R",10878,"R",12921,"R",12944,"R",6192,"R",6752,"R",2725,"R",1311,"R",1414,"R",2721,"R",1309,"R",1412,"R",4,"R",2,"R",2,"R",2369,"R",87,"R",739,"R",27,"R",490,"R",580,"R",500,"R",590,"R",22,"R",26,"A",,"A",,"A",,"A",
196079,1,2,1,1,1,3,1,1,3,"R",32139,"R",15214,"R",16925,"R",13056,"R",6245,"R",6811,"R",2708,"R",1370,"R",1328,"R",2641,"R",1333,"R",1308,"R",67,"R",37,"R",20,"R",2605,"R",97,"R",1217,"R",44,"R",600,"R",690,"R",630,"R",710,"R",28,"R",31,"A",,"A",,"A",,"A",
196088,1,2,1,2,2,3,1,1,3,"R",26001,"R",13255,"R",12746,"R",15440,"R",8089,"R",7351,"R",4103,"R",2374,"R",1729,"R",4082,"R",2368,"R",1714,"R",21,"R",6,"R",15,"R",3256,"R",82,"R",1453,"R",36,"R",520,"R",610,"R",550,"R",660,"R",24,"R",29,"A",,"A",,"A",,"A",
196097,1,2,1,1,1,2,1,1,3,"R",34999,"R",16899,"R",18100,"R",14233,"R",6866,"R",7367,"R",2934,"R",1582,"R",1352,"R",2931,"R",1580,"R",1351,"R",3,"R",2,"R",1,"R",2314,"R",79,"R",1053,"R",36,"R",550,"R",660,"R",600,"R",710,"R",26,"R",31,"R",24,"R",31,"R",26,"R",32
196103,1,2,1,1,1,2,1,1,3,"R",1651,"R",800,"R",851,"R",895,"R",410,"R",485,"R",328,"R",166,"R",162,"R",327,"R",166,"R",161,"R",1,"Z",0,"R",1,"R",242,"R",74,"R",165,"R",50,"R",520,"R",630,"R",550,"R",630,"R",23,"R",27,"R",22,"R",28,"R",23,"R",27
196112,1,2,1,1,1,2,1,1,3,"R",2508,"R",1909,"R",519,"R",1613,"R",1210,"R",403,"R",314,"R",232,"R",82,"R",314,"R",232,"R",82,"A",,"A",,"A",,"R",275,"R",87,"R",74,"R",23,"R",480,"R",650,"R",510,"R",680,"R",24,"R",29,"R",22,"R",27,"R",24,"R",29
