UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FT_GD,PT_UG,PT_FTUG,PT_GD,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT,DISTNCED
170541,1,1,-2,1,1,0,1,8,0,-2,1,1,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"B",.,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170550,1,1,-2,0,0,0,1,8,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.,2
170587,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170611,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,1,-2,-2,-2,-2,0,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,"R",0,"A",.,1,1,-2,1,1,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170620,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170639,1,1,1,1,0,0,1,2,0,-2,0,1,1,0,1,1,1,0,0,0,0,0,2,2,2,1,2,3,3,1,3,4,2,"R",776,"R",837,"R",693,"R",768,"R",242,"R",252,"R",5,"R",5,2,"R",20,"R",4,"R",459,"R",91,"R",462,"R",585,"R",482,"R",567,"R",447,"R",512,"R",20,"R",24,"R",19,"R",25,"R",19,"R",25,"R",6,"R",8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,144,2,-2,1,144,1,"R",35,"R",35,1,1,2,1,1,1,1,1,"R",1031,1,"R",19,"A",.,"A",.,"R",8319,2,"R",247,"R",257,"R",504,"R",1613,"R",1461,"R",494,"R",10,1,0,0,1,0,2,"R",7,2
170657,1,1,-2,1,1,1,1,8,0,-2,1,1,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170675,0,1,0,0,0,0,3,-2,-2,-2,0,1,1,0,1,1,1,0,0,1,0,0,2,1,1,1,2,1,1,1,1,3,1,"R",1223,"R",476,"R",576,"R",222,"R",194,"R",66,"R",12,"R",2,1,"R",0,"R",0,"R",245,"R",89,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",20,"R",27,"R",19,"R",26,"R",21,"R",28,"R",6,"R",8,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",30,"R",50,1,1,1,1,1,1,2,1,"R",519,2,"A",.,"R",4959,"R",3347,"A",.,2,"R",206,"R",68,"R",274,"R",1699,"R",798,"R",260,"R",14,1,0,0,1,0,1,"A",.,2
170736,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,1,-2,0,0,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"B",.,"A",.,1,1,-2,1,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170790,1,1,-2,1,1,0,1,8,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"B",.,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,1,"A",.,2
170806,0,1,1,1,0,0,4,-2,-2,30,0,1,1,1,1,1,1,1,0,0,1,0,2,1,3,1,2,2,2,1,1,3,2,"R",234,"R",600,"R",151,"R",393,"R",56,"R",123,"R",4,"R",9,2,"R",4,"R",3,"R",166,"R",86,"R",300,"R",640,"R",330,"R",580,"R",390,"R",660,"R",20,"R",25,"R",19,"R",24,"R",17,"R",23,"R",7,"R",8,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,307,1,307,2,-2,1,"R",25,"R",25,1,1,1,1,1,1,2,1,"R",232,1,"R",19,"R",3392,"R",4038,"A",.,2,"R",60,"R",132,"R",192,"R",834,"R",544,"R",179,"R",13,1,0,0,1,0,1,"A",.,2
170842,1,1,1,1,1,0,4,-2,-2,30,1,1,1,0,1,1,1,0,0,0,0,0,2,1,2,1,2,2,2,1,1,3,2,"R",274,"R",679,"R",127,"R",306,"R",31,"R",65,"R",1,"R",3,2,"R",0,"R",0,"R",72,"R",72,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",14,"R",19,"R",13,"R",20,"R",15,"R",18,"R",7,"R",8,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,0,1,0,0,0,0,2,-2,1,342,2,-2,1,342,1,"R",25,"R",25,1,1,1,1,1,1,2,1,"R",170,1,"R",17,"A",.,"A",.,"R",7600,2,"R",32,"R",68,"R",100,"R",953,"R",433,"R",96,"R",4,1,0,0,1,0,2,"R",5,2
170967,0,1,0,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,0,0,0,0,2,1,2,1,3,3,3,1,1,3,2,"R",236,"R",392,"R",149,"R",248,"R",58,"R",85,"R",8,"R",12,2,"R",7,"R",4,"R",130,"R",80,"R",430,"R",538,"R",483,"R",533,"B",.,"B",.,"R",18,"R",24,"R",17,"R",23,"R",16,"R",23,"B",.,"B",.,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,-2,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,308,1,308,1,308,2,-2,1,"R",35,"R",35,1,1,1,1,1,1,2,1,"R",322,1,"R",19,"R",3194,"R",3020,"A",.,2,"R",66,"R",97,"R",163,"R",628,"R",397,"R",143,"R",20,1,0,0,1,0,1,"A",.,2
170976,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,1,1,0,2,1,2,1,1,1,3,1,1,3,2,"R",20643,"R",18941,"R",7894,"R",8089,"R",3112,"R",3099,"R",12,"R",13,2,"R",2147,"R",34,"R",4977,"R",80,"R",600,"R",700,"R",650,"R",750,"R",620,"R",720,"R",28,"R",32,"R",28,"R",33,"R",27,"R",33,"B",.,"B",.,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,-2,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,107,1,107,1,107,1,107,3,"R",65,"R",65,1,1,1,1,1,1,1,1,"R",11718,2,"A",.,"R",5748,"R",4780,"A",.,2,"R",3124,"R",3112,"R",6236,"R",39584,"R",16073,"R",6211,"R",25,1,0,0,1,0,2,"R",4,2
171012,1,0,-2,0,0,0,3,-2,-2,-2,0,1,0,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,1,-2,0,0,0,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,2,-2,7,"R",100,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,1,1,"A",.,2
